id	dtime	proportion_wet	ice_concentration
23500	2015-05-30T20:00:00Z	0.01153	99
23500	2015-05-30T22:00:00Z	0.00778	99
23500	2015-05-31T00:00:00Z	0.00153	100
23500	2015-05-31T02:00:00Z	0	100
23500	2015-05-31T04:00:00Z	0	100
23500	2015-05-31T06:00:00Z	0.027085	100
23500	2015-05-31T08:00:00Z	0.012085	100
23500	2015-05-31T10:00:00Z	0.014165	100
23500	2015-05-31T12:00:00Z	0	100
23500	2015-05-31T14:00:00Z	0	100
23500	2015-05-31T16:00:00Z	0.02889	100
23500	2015-05-31T18:00:00Z	0	100
23500	2015-05-31T20:00:00Z	0	100
23500	2015-05-31T22:00:00Z	0	100
23500	2015-06-01T00:00:00Z	0.07347	100
23500	2015-06-01T02:00:00Z	0	100
23500	2015-06-01T04:00:00Z	0	100
23500	2015-06-01T06:00:00Z	0	100
23500	2015-06-01T08:00:00Z	0.00097	100
23500	2015-06-01T10:00:00Z	0.01625	100
23500	2015-06-01T12:00:00Z	0.040695	100
23500	2015-06-01T14:00:00Z	0	100
23500	2015-06-01T16:00:00Z	0	100
23500	2015-06-01T18:00:00Z	0	100
23500	2015-06-01T20:00:00Z	0	100
23500	2015-06-01T22:00:00Z	0	98
23500	2015-06-02T00:00:00Z	0	98
23500	2015-06-02T02:00:00Z	0	98
23500	2015-06-02T04:00:00Z	0	98
23500	2015-06-02T06:00:00Z	0	98
23500	2015-06-02T08:00:00Z	0	98
23500	2015-06-02T10:00:00Z	0.013335	98
23500	2015-06-02T12:00:00Z	0.00347	99
23500	2015-06-02T14:00:00Z	0.01611	99
23500	2015-06-02T16:00:00Z	0	99
23500	2015-06-02T18:00:00Z	0	99
23500	2015-06-02T20:00:00Z	0	99
23500	2015-06-02T22:00:00Z	0	99
23500	2015-06-03T00:00:00Z	0	99
23500	2015-06-03T02:00:00Z	0	99
23500	2015-06-03T04:00:00Z	0.00389	99
23500	2015-06-03T06:00:00Z	0	99
23500	2015-06-03T08:00:00Z	0	99
23500	2015-06-03T10:00:00Z	0.003335	99
23500	2015-06-03T12:00:00Z	0.021805	99
23500	2015-06-03T14:00:00Z	0	99
23500	2015-06-03T16:00:00Z	0	99
23500	2015-06-03T18:00:00Z	0	99
23500	2015-06-03T20:00:00Z	0	99
23500	2015-06-03T22:00:00Z	0	99
23500	2015-06-04T00:00:00Z	0	99
23500	2015-06-04T02:00:00Z	0	99
23500	2015-06-04T04:00:00Z	0	100
23500	2015-06-04T06:00:00Z	0.00139	100
23500	2015-06-04T08:00:00Z	0	98
23500	2015-06-04T10:00:00Z	0	98
23500	2015-06-04T12:00:00Z	0	98
23500	2015-06-04T14:00:00Z	0.01236	98
23500	2015-06-04T16:00:00Z	0	100
23500	2015-06-04T18:00:00Z	0	100
23500	2015-06-04T20:00:00Z	0	100
23500	2015-06-04T22:00:00Z	0	100
23500	2015-06-05T00:00:00Z	0	100
23500	2015-06-05T02:00:00Z	0.01472	100
23500	2015-06-05T04:00:00Z	0	100
23500	2015-06-05T06:00:00Z	0.030275	100
23500	2015-06-05T08:00:00Z	0.009865	100
23500	2015-06-05T10:00:00Z	0	100
23500	2015-06-05T12:00:00Z	0.01347	100
23500	2015-06-05T14:00:00Z	0.049585	100
23500	2015-06-05T16:00:00Z	0	100
23500	2015-06-05T18:00:00Z	0	100
23500	2015-06-05T20:00:00Z	0	100
23500	2015-06-05T22:00:00Z	0	100
23500	2015-06-06T00:00:00Z	0	100
23500	2015-06-06T02:00:00Z	0	100
23500	2015-06-06T04:00:00Z	0.00986	100
23500	2015-06-06T06:00:00Z	0.034445	99
23500	2015-06-06T08:00:00Z	0	100
23500	2015-06-06T10:00:00Z	0	100
23500	2015-06-06T12:00:00Z	0.03375	100
23500	2015-06-06T14:00:00Z	0	100
23500	2015-06-06T16:00:00Z	0.004445	100
23500	2015-06-06T18:00:00Z	0	100
23500	2015-06-06T20:00:00Z	0.011945	100
23500	2015-06-06T22:00:00Z	0	100
23500	2015-06-07T00:00:00Z	0	100
23500	2015-06-07T02:00:00Z	0	100
23500	2015-06-07T04:00:00Z	0.01014	100
23500	2015-06-07T06:00:00Z	0.007915	100
23500	2015-06-07T08:00:00Z	0.015275	100
23500	2015-06-07T10:00:00Z	0.015415	100
23500	2015-06-07T12:00:00Z	0.014305	100
23500	2015-06-07T14:00:00Z	0	100
23500	2015-06-07T16:00:00Z	0	100
23500	2015-06-07T18:00:00Z	0	100
23500	2015-06-07T20:00:00Z	0	100
23500	2015-06-07T22:00:00Z	0	100
23500	2015-06-08T00:00:00Z	0	100
23500	2015-06-08T02:00:00Z	0	100
23500	2015-06-08T04:00:00Z	0	100
23500	2015-06-08T06:00:00Z	0	100
23500	2015-06-08T08:00:00Z	0	100
23500	2015-06-08T10:00:00Z	0.004305	100
23500	2015-06-08T12:00:00Z	0.035555	100
23500	2015-06-08T14:00:00Z	0.014445	100
23500	2015-06-08T16:00:00Z	0	100
