kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K00738.01,CONFIRMED,CANDIDATE,10.3392408,0.15,3.075,1184.6,2.98,777.0,86.46,5730.0,4.545,0.87,298.34833,47.49123
K00645.01,CONFIRMED,CANDIDATE,8.50339249,0.825,2.9569,188.9,1.95,1021.0,257.22,5877.0,4.2330000000000005,1.265,295.21744,40.592251
K00645.02,CANDIDATE,CANDIDATE,23.7832097,0.01,7.939,256.5,2.01,725.0,65.26,5877.0,4.2330000000000005,1.265,295.21744,40.592251
K00647.01,CONFIRMED,CANDIDATE,5.16949729,0.235,4.5122,210.6,2.06,1309.0,694.32,6011.0,4.123,1.409,291.19507000000004,40.702702
K00700.01,CONFIRMED,CANDIDATE,30.86436512,0.851,2.9557,551.3,2.23,527.0,18.22,5677.0,4.563,0.828,294.97351000000003,45.213692
K00700.02,CONFIRMED,CANDIDATE,9.36059705,0.802,3.2069,236.5,1.42,784.0,89.47,5677.0,4.563,0.828,294.97351000000003,45.213692
K00700.03,CONFIRMED,CANDIDATE,14.6672293,0.596,3.742,198.1,1.21,675.0,49.12,5677.0,4.563,0.828,294.97351000000003,45.213692
K00700.04,CONFIRMED,CANDIDATE,68.1609897,0.459,5.662,295.6,1.45,405.0,6.34,5677.0,4.563,0.828,294.97351000000003,45.213692
K00738.02,CONFIRMED,CANDIDATE,13.28689997,0.017,3.2825,1039.6,2.78,715.0,61.8,5730.0,4.545,0.87,298.34833,47.49123
K00739.01,CONFIRMED,CANDIDATE,1.287076693,0.003,1.4942,729.4,1.39,871.0,135.97,3736.0,4.724,0.525,282.9838,47.578590000000005
K00740.01,CONFIRMED,CANDIDATE,17.6717714,0.86,3.4202,918.6,2.44,513.0,16.38,4869.0,4.636,0.687,287.60818,47.509682
K00649.01,CONFIRMED,CANDIDATE,23.44970494,0.193,8.6567,315.6,2.71,802.0,97.94,6188.0,4.196000000000001,1.524,289.77325,40.80072
K00102.01,CANDIDATE,CANDIDATE,1.73513619,0.045,2.2741,952.6,3.27,1554.0,1372.87,5751.0,4.391,1.071,299.70474,44.435749
K00650.01,CANDIDATE,CANDIDATE,11.95474513,0.601,2.1433,903.4,5.15,906.0,159.04,5059.0,3.9760000000000004,1.657,290.39617999999996,41.040081
K00651.01,FALSE POSITIVE,FALSE POSITIVE,42.55930625,0.927,3.0148,2303.5,5.45,527.0,18.24,6032.0,4.489,0.924,293.45612,41.048221999999996
K00652.01,CONFIRMED,CANDIDATE,16.080657264000003,0.051,2.8701,3076.0,4.43,614.0,33.64,5303.0,4.547,0.817,293.59189,41.095161
K00701.01,CONFIRMED,CANDIDATE,18.16407304,0.021,2.9355,943.2,1.98,508.0,15.72,4926.0,4.6530000000000005,0.662,283.21274,45.349861
K07521.02,FALSE POSITIVE,FALSE POSITIVE,7.334073405,0.559,2.7308,326.9,1.42,870.0,135.81,5985.0,4.603,0.758,291.11057,51.058929
K00701.02,CONFIRMED,CANDIDATE,5.71489692,0.011,2.3572,425.9,1.33,747.0,73.38,4926.0,4.6530000000000005,0.662,283.21274,45.349861
K00701.03,CONFIRMED,CANDIDATE,122.3858681,0.101,7.123,711.1,1.72,269.0,1.24,4926.0,4.6530000000000005,0.662,283.21274,45.349861
K00654.01,CONFIRMED,CANDIDATE,8.59481851,0.617,3.254,336.5,1.75,854.0,125.48,5675.0,4.459,0.915,284.40991,41.237460999999996
K00654.02,CONFIRMED,CANDIDATE,10.22215697,0.911,1.1939,238.2,1.72,806.0,99.68,5675.0,4.459,0.915,284.40991,41.237460999999996
K00655.01,CONFIRMED,CANDIDATE,25.6721559,0.867,5.9629,387.1,2.68,683.0,51.47,6034.0,4.359,1.179,293.62604,41.27282
K00655.02,CONFIRMED,CANDIDATE,151.8851881,0.788,12.091,360.6,2.47,378.0,4.81,6034.0,4.359,1.179,293.62604,41.27282
K00704.01,CANDIDATE,CANDIDATE,18.39629744,0.872,2.7838,680.2,2.47,582.0,27.09,5316.0,4.57,0.804,284.38617,45.719711
K00707.01,CONFIRMED,CANDIDATE,21.77568158,0.025,7.9588,797.9,4.76,853.0,125.14,5900.0,4.022,1.694,289.07755,46.005219
K00707.02,CONFIRMED,CANDIDATE,41.0283424,0.011,9.8052,541.4,3.92,691.0,53.8,5900.0,4.022,1.694,289.07755,46.005219
K04453.02,FALSE POSITIVE,FALSE POSITIVE,0.83442282,0.163,1.873,50.9,0.64,1854.0,2794.84,5838.0,4.529,0.897,291.16476,48.052429
K00656.01,FALSE POSITIVE,FALSE POSITIVE,1.906633332,0.98,3.0825,268.0,2.72,1847.0,2745.66,6736.0,4.335,1.243,293.7756,41.228489
K00657.01,CONFIRMED,CANDIDATE,4.069425638,0.102,2.0396,549.1,1.53,802.0,97.72,4671.0,4.636,0.68,282.97342000000003,41.32201
K00102.02,FALSE POSITIVE,FALSE POSITIVE,4.06844957,0.55,2.8349,79.8,0.98,1170.0,442.08,5751.0,4.391,1.071,299.70474,44.435749
K00657.02,CONFIRMED,CANDIDATE,16.28247625,0.382,2.9227,792.6,1.88,505.0,15.37,4671.0,4.636,0.68,282.97342000000003,41.32201
