p_mass,p_radius,p_period,p_semi_major_axis,p_eccentricity,p_angular_distance,p_impact_parameter,s_ra,s_dec,s_mag,s_distance,s_metallicity,s_mass,s_radius,s_temperature,s_log_g,p_hill_sphere,p_distance,p_periastron,p_apastron,p_distance_eff,p_flux,p_temp_equil,p_type,s_radius_est,s_ra_h,s_ra_t,s_dec_t,s_luminosity,s_snow_line,s_abio_zone,s_tidal_lock,p_habzone_opt,p_habzone_con,p_type_temp,p_habitable,p_esi,p_radius_est,p_mass_est,p_semi_major_axis_est
168.44884,,1667.0,2.28,0.05,83.5,,278.37015,-11.636039,9.99,27.3,-0.48,0.57,0.52,4475.0,4.1,0.14431386,2.28285,2.166,2.394,2.2807134,0.018712911000000002,94.183848,Jovian,0.52,18.558010999999997,18 33 28.8390,-11 38 09.7404,0.09715552300000001,0.84158409,0.17932886,0.37968657,0,0,Cold,0,0.083110123,14.156616,168.44884,2.28
3108.3579,,714.2999900000001,1.66,0.21,1.75,,114.28846000000001,-13.906639000000002,9.45,948.75,-0.08,2.12,19.17,4545.0,2.2,0.14902259,1.6966029999999999,1.3114,2.0086,1.6692862000000002,52.149004,678.88563,Jovian,19.17,7.619230900000001,07 37 09.2314,-13 54 23.9004,140.49743999999998,32.003537,0.31335175,0.59264745,0,0,Hot,0,0.091453244,12.45239,3108.3579,1.66
905.80981,,655.59998,1.34,0.54,38.9,,7.142942,-16.226345000000002,9.566,34.49,0.01,0.31,0.74,4665.0,4.19,0.088146747,1.535372,0.6164,2.0636,1.3942883999999998,0.15374812,149.79878,Jovian,0.74,0.47619616,00 28 34.3062,-16 13 34.8420,0.23235856,1.3014968,0.20288108,0.31222788,0,0,Cold,0,0.20149258,13.146629,905.80981,1.34
3337.194,,10037.5,2.6,,113.0,,224.62082999999998,10.228611,,23.1,,0.02,,580.5,4.72,1.4317782,2.6,2.6,2.6,2.6000001,1.5688472e-07,5.0703749,Jovian,0.10209745,14.974723000000001,14 58 29.0027,+10 13 42.9996,1.0605406999999999e-06,0.0027805291,7.293659700000001e-05,0.12522598,0,0,Cold,0,0.071553799,12.413528999999999,3337.194,2.6
3994.7802,,,210.0,,1100.0,,166.61989,-77.625877,,191.05,,0.35,,,,47.294734999999996,210.0,210.0,210.0,210.00001,,,Jovian,,11.107992999999999,11 06 28.7764,-77 37 33.1572,,,,0.089485465,0,0,,0,,12.31568,3994.7802,210.0
3686.8048,,8.9891,,0.25,,,68.466728,22.841696,12.939,158.0,,0.9,,,,0.0098035544,0.084223218,0.061253249,0.10208875,0.082322546,,,Jovian,,4.5644488,04 33 52.0156,+22 50 30.1056,,,,0.13116739,0,0,,0,,12.359231,3686.8048,0.08167099900000001
5403.076,24.662,,440.0,,2670.0,,166.03788,-76.455383,,165.0,,,,,,,440.0,440.0,440.0,440.00001,,,Jovian,,11.069192,11 04 09.0926,-76 27 19.3788,,,,,0,0,,0,,24.662,5403.076,440.0
327.36284,16.7029,1.5089556999999998,,0.0,,,102.07989,-3.102147,13.6,805.31,-0.3,0.95,1.11,5950.0,4.25,0.0017745526000000002,0.025304732000000003,0.025304732000000003,0.025304732000000003,0.025304732000000003,2160.7225,1736.9794,Jovian,1.11,6.805325999999999,06 48 19.1737,-03 06 07.7292,1.3835742,3.1758867000000004,2.679932,0.4535157,0,0,Hot,0,0.055287801,16.7029,327.36284,0.025304732000000003
874.02701,10.8737,13.2406,0.1055,0.53,0.306,0.85,291.06371,0.746143,15.22,345.0,0.26,0.89,0.79,5075.0,4.65,0.0049300026,0.12031747,0.049585,0.161415,0.10959973,39.299539,600.56763,Jovian,0.79,19.404248000000003,19 24 15.2936,+00 44 46.1148,0.37092578,1.6443993000000001,0.58321142,0.41324574,0,0,Hot,0,0.10705569,10.8737,874.02701,0.1055
740.53925,16.0303,2.9943299999999997,0.0436,0.0,0.0779,0.818,280.68726000000004,5.937688,12.939,560.0,-0.03,1.27,1.37,6440.0,4.22,0.0036435088,0.0436,0.0436,0.0436,0.043600001,1521.5992,1591.1824,Jovian,1.37,18.712485,18 42 44.9466,+05 56 15.6768,2.8924992,4.5919843,6.850910300000001,0.43484159,0,0,Hot,0,0.057585357999999996,16.0303,740.53925,0.0436
