pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
CoRoT-19 b,Transit,1,3.89713000,0.051800,0.047000,1.11000,1.290,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,6090.00,1.21,1.65
CoRoT-2 b,Transit,1,1.74299350,0.027980,0.014300,3.47000,1.466,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,5625.00,0.96,0.91
CoRoT-20 b,Transit,2,9.24285000,0.090000,0.590000,4.30000,,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,,1.14,
CoRoT-20 c,Radial Velocity,2,1675.00000000,2.900000,0.600000,17.00000,,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,,1.14,
CoRoT-21 b,Transit,1,2.72474000,0.041700,0.000000,2.26000,1.300,06h44m12.588s,101.052450,-00d17m56.868s,-0.299130,1398.83,6200.00,1.29,1.95
CoRoT-22 b,Transit,1,9.75598000,0.092000,0.077000,0.03800,0.435,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,5939.00,1.10,1.14
CoRoT-23 b,Transit,1,3.63130000,0.048000,0.160000,2.80000,1.050,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,5900.00,1.14,1.61
CoRoT-24 b,Transit,2,5.11340000,0.056000,0.000000,0.01800,0.330,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,4950.00,0.91,0.86
CoRoT-24 c,Transit,2,11.75900000,0.098000,0.000000,0.08800,0.440,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,4950.00,0.91,0.86
CoRoT-25 b,Transit,1,4.86069000,0.057800,0.000000,0.27000,1.080,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,6040.00,1.09,1.19
CoRoT-26 b,Transit,1,4.20474000,0.052600,0.000000,0.52000,1.260,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,5590.00,1.09,1.79
CoRoT-27 b,Transit,1,3.57532000,0.047600,0.065000,10.39000,1.007,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,5900.00,1.05,1.08
CoRoT-28 b,Transit,1,5.20851000,0.060300,0.047000,0.48400,0.955,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,560.00,5150.00,1.01,1.78
CoRoT-29 b,Transit,1,2.85057000,0.038600,0.082000,0.85000,0.900,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.00,5260.00,0.97,0.90
CoRoT-3 b,Transit,1,4.25680000,,0.000000,21.66000,1.010,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,680.00,6740.00,1.37,1.56
CoRoT-4 b,Transit,1,9.20205000,0.090000,0.000000,0.72000,1.190,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.60,6190.00,1.16,1.17
CoRoT-5 b,Transit,1,4.03789620,0.049470,0.090000,0.46700,1.388,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,6100.00,1.00,1.19
CoRoT-6 b,Transit,1,8.88659300,0.085500,0.100000,2.96000,1.166,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,6090.00,1.05,1.02
CoRoT-7 b,Transit,2,0.85359163,,0.000000,0.01000,0.150,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,5275.00,0.82,0.83
CoRoT-7 c,Radial Velocity,2,3.69800000,0.046000,0.000000,0.02643,,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,5275.00,0.82,0.83
CoRoT-8 b,Transit,1,6.21229000,0.063000,0.000000,0.22000,0.570,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.00,5080.00,0.88,0.77
CoRoT-9 b,Transit,1,95.27265600,0.402100,0.133000,0.84000,1.066,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460.00,5625.00,0.96,0.96
CoRoTID 223977153 b,Transit,1,6.71837000,0.071000,,0.15000,0.570,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,586.20,5970.00,1.08,0.79
DENIS-P J082303.1-491201 b,Astrometry,1,246.36000000,0.360000,0.345000,28.50000,,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,20.77,,0.07,
DH Tau b,Imaging,1,,330.000000,,11.00000,,04h29m41.56s,67.423158,+26d32m58.3s,26.549520,140.00,,0.33,0.27
DP Leo b,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,6.05000,,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,0.69,
EPIC 211822797 b,Transit,1,21.16986100,0.131000,0.060000,,0.177,08h41m38.49s,130.410370,+17d38m24.0s,17.640005,187.19,4148.21,0.66,0.57
EPIC 211945201 b,Transit,1,19.49221000,0.149300,,,0.514,09h06m17.75s,136.573975,+19d24m08.1s,19.402252,182.69,6069.00,1.17,1.39
EPIC 220674823 b,Transit,2,0.57133100,0.013400,,,0.162,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,246.10,5617.00,0.97,0.98
EPIC 220674823 c,Transit,2,13.33907900,0.109100,,,0.244,00h52m19.15s,13.079780,+10d47m40.9s,10.794699,246.10,5617.00,0.97,0.98
EPIC 246851721 b,Transit,1,6.18023500,0.072290,,3.00000,1.051,05h15m40.74s,78.919746,+16d16m43.5s,16.278742,336.70,6202.00,1.32,1.59
FU Tau b,Imaging,1,,800.000000,,16.00000,,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140.00,2838.00,0.05,
Fomalhaut b,Imaging,1,555530.00000000,160.000000,0.870000,,,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.70,,1.92,
